#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1641963660.0555,55500,0,0,0,0,97387748,79544608,86132372,152196,6772456,8700,7562156,6570644,7209344,13268,352812,6557376,0,0,8388604,6279544,500,0,7203464,54900,14456,390284,235032,155252,14016,110344,0,0,0,57082476,13475132,34359738367,576596,34308614140,51200,0,4388864,0,0,0,0,0,0,2048,439668,10711040,90177536
1641963660.05782,57820,1,0,0,0,97385144,62884956,93174040,3720,30446260,5800,19891516,10708852,45592,341776,19845924,10367076,0,0,8388604,8199420,0,0,146612,73104,236980,815880,633532,182348,14256,8376,0,0,0,57081176,1377884,34359738367,583720,34308612092,54400,0,73728,0,0,0,0,0,0,2048,539016,9564160,91226112
1641963660.057543,57543,2,0,0,0,97385124,51056152,93191264,3436,42277008,4252,29618888,12796348,25316,344572,29593572,12451776,0,0,8388604,8228604,0,0,130380,71884,235048,824332,647288,177044,14432,8036,0,0,0,57081164,1436492,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641963660.051794,51794,3,0,0,0,3878020,3200976,3407316,2088,432032,0,292248,213232,83524,29596,208724,183636,0,0,0,0,0,0,71360,70676,41760,72076,45624,26452,3040,5964,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641963660.051654,51654,4,0,0,0,1813712,97932,1047516,2068,1073512,0,809256,702556,461776,37000,347480,665556,0,0,0,0,96,0,436224,40072,62520,149728,123756,25972,2864,7084,0,0,0,906856,645980,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1641963660.052102,52102,5,0,0,0,3878040,125632,1250436,2068,1343916,0,2765128,811276,2242080,30064,523048,781212,0,0,0,0,0,16,2230376,79624,41724,81404,58580,22824,3008,11004,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,856064,0,0,0,0,0,0,2048,81776,4112384,2097152
1641963720.055236,55236,0,0,0,0,97387748,79766084,86353720,152272,6772348,8724,7354728,6570616,7001892,13300,352836,6557316,0,0,8388604,6279544,412,0,6994992,54776,14464,387976,234940,153036,13680,100460,0,0,0,57082476,12919044,34359738367,576596,34308614140,51200,0,4392960,0,0,0,0,0,0,2048,439668,10711040,90177536
1641963720.058405,58405,1,0,0,0,97385144,62838040,93174380,4116,30493024,5800,19888208,10755928,42232,341776,19845976,10414152,0,0,8388604,8199420,15872,0,142736,73120,236980,816012,633660,182352,14272,8376,0,0,0,57081176,1378128,34359738367,583720,34308612092,54400,0,73728,0,0,0,0,0,0,2048,539016,9564160,91226112
1641963720.058424,58424,2,0,0,0,97385124,51037188,93194544,3956,42298652,4252,29617476,12818456,23832,344572,29593644,12473884,0,0,8388604,8228604,0,0,129556,71892,235048,824140,647352,176788,14448,8036,0,0,0,57081164,1437340,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641963720.051714,51714,3,0,0,0,3878020,3201224,3407568,2088,432036,0,292212,213232,83484,29596,208728,183636,0,0,0,0,4,0,71328,70684,41760,72060,45624,26436,3056,5964,0,0,0,1939008,572536,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641963720.05161,51610,5,0,0,0,3878040,134576,1238988,2068,1323616,0,2776860,790016,2252892,30064,523968,759952,0,0,0,0,0,0,2241232,79632,41724,81296,58480,22816,3008,11024,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,860160,0,0,0,0,0,0,2048,81776,4112384,2097152
1641963720.051468,51468,4,0,0,0,1813712,86036,1046776,2068,1084704,0,819364,704032,462180,37000,357184,667032,0,0,0,0,252,0,436660,40064,62520,149928,123732,26196,3008,7088,0,0,0,906856,647008,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1641963780.05761,57610,1,0,0,0,97385144,62782688,93177052,4132,30550880,5800,19888196,10813816,42220,341768,19845976,10472048,0,0,8388604,8199420,256,344,143928,73124,236980,815916,633788,182128,14272,8376,0,0,0,57081176,1378116,34359738367,583720,34308612092,54400,0,73728,0,0,0,0,0,0,2048,539016,9564160,91226112
1641963780.055266,55266,0,0,0,0,97387748,79314916,85902732,152352,6772524,8724,7781340,6570828,7428472,13300,352868,6557528,0,0,8388604,6279544,456,0,7421696,54780,14464,392884,234876,158008,14336,118052,0,0,0,57082476,13973264,34359738367,576596,34308614140,51200,0,4397056,0,0,0,0,0,0,2048,439668,10711040,90177536
1641963780.05847,58470,2,0,0,0,97385124,51009688,93193256,3964,42324764,4252,29616712,12844612,23068,344580,29593644,12500032,0,0,8388604,8228604,5888,0,128732,71892,235048,824108,647416,176692,14448,8036,0,0,0,57081164,1437764,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641963780.051464,51464,4,0,0,0,1813712,83092,1044484,2068,1085532,0,831524,694924,464380,37000,367144,657924,0,0,0,0,144,0,438860,40064,62520,149856,123532,26324,2816,7080,0,0,0,906856,647008,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1641963780.051992,51992,3,0,0,0,3878020,3200860,3407204,2088,432036,0,292192,213232,83464,29596,208728,183636,0,0,0,0,0,0,71300,70684,41760,72052,45624,26428,3056,5964,0,0,0,1939008,572536,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641963780.052231,52231,5,0,0,0,3878040,125156,1239412,2068,1333284,0,2777824,798752,2252884,30064,524940,768688,0,0,0,0,0,0,2241224,79632,41724,81668,58748,22920,3008,11024,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,860160,0,0,0,0,0,0,2048,81776,4112384,2097152
1641963840.055842,55842,0,0,0,0,97387748,79892260,86480496,152428,6772340,8724,7232244,6570704,6879344,13300,352900,6557404,0,0,8388604,6279544,564,0,6873052,55828,14464,389220,235388,153832,13680,92676,0,0,0,57082476,12504680,34359738367,576596,34308614140,51200,0,4392960,0,0,0,0,0,0,2048,439668,10711040,90177536
1641963840.05842,58420,2,0,0,0,97385124,50965784,93194704,3964,42370288,4252,29616504,12889868,22860,344580,29593644,12545288,0,0,8388604,8228604,13268,0,129040,71892,235048,823948,647512,176436,14448,8036,0,0,0,57081164,1437504,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641963840.058151,58151,1,0,0,0,97385144,62741112,93175116,4132,30590448,5800,24138176,6605560,44360,341776,24093816,6263784,0,0,8388604,8199420,0,0,144852,73124,236980,815948,633852,182096,14272,8376,0,0,0,57081176,1377924,34359738367,583720,34308612092,54400,0,73728,0,0,0,0,0,0,2048,539016,9564160,91226112
1641963840.052101,52101,3,0,0,0,3878020,3201132,3407476,2088,432036,0,292232,213232,83504,29596,208728,183636,0,0,0,0,0,0,71356,70684,41760,72028,45624,26404,3056,5964,0,0,0,1939008,572536,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641963840.051556,51556,4,0,0,0,1813712,129200,1060916,2068,1055852,0,817688,662196,447500,37000,370188,625196,0,0,0,0,120,0,421980,40068,62520,150056,123540,26516,3024,7124,0,0,0,906856,655232,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1641963840.051706,51706,5,0,0,0,3878040,124692,1238948,2068,1333284,0,2778672,798208,2253188,30064,525484,768144,0,0,0,0,0,8,2241532,79632,41724,81660,58748,22912,3024,11024,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,860160,0,0,0,0,0,0,2048,81776,4112384,2097152
1641963900.054033,54033,0,0,0,0,97387748,79380432,85969104,152480,6772472,8724,7723932,6570824,7370976,13300,352956,6557524,0,0,8388604,6279544,356,0,7364144,54968,14464,391112,235648,155464,13984,112608,0,0,0,57082476,13713404,34359738367,576596,34308614140,51200,0,4397056,0,0,0,0,0,0,2048,439668,10711040,90177536
1641963900.056903,56903,1,0,0,0,97385144,62739412,93173416,4132,30590448,5800,24137784,6605500,43908,341776,24093876,6263724,0,0,8388604,8199420,0,0,145484,73124,236980,815948,633852,182096,14272,8376,0,0,0,57081176,1377928,34359738367,583720,34308612092,54400,0,73728,0,0,0,0,0,0,2048,539016,9564160,91226112
1641963900.057911,57911,2,0,0,0,97385124,50882228,93195084,3964,42454000,4252,29616420,12973600,22776,344568,29593644,12629032,0,0,8388604,8228604,12756,0,128964,71892,235048,824124,647704,176420,14448,8036,0,0,0,57081164,1437508,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641963900.051474,51474,4,0,0,0,1813712,107676,1050968,2068,1067428,0,826500,675440,457988,37000,368512,638440,0,0,0,0,260,0,432488,40060,62520,149944,123548,26396,2848,7020,0,0,0,906856,647544,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1641963900.051944,51944,3,0,0,0,3878020,3202124,3408468,2088,432036,0,292192,213232,83464,29596,208728,183636,0,0,0,0,4,0,71300,70684,41760,72028,45624,26404,3056,5964,0,0,0,1939008,572536,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641963900.051382,51382,5,0,0,0,3878040,119276,1239252,2068,1338916,0,2780436,801920,2253032,30064,527404,771856,0,0,0,0,0,8,2241372,79632,41724,81780,58924,22856,3024,11024,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,860160,0,0,0,0,0,0,2048,81776,4112384,2097152
1641963960.055291,55291,0,0,0,0,97387748,79496500,86085588,152544,6772488,8724,7612368,6570868,7259368,13300,353000,6557568,0,0,8388604,6279544,408,0,7255040,54824,14464,391964,235976,155988,14128,107852,0,0,0,57082476,13369456,34359738367,576596,34308614140,51200,0,4401152,0,0,0,0,0,0,2048,439668,10711040,90177536
1641963960.056736,56736,1,0,0,0,97385144,62735812,93177464,4140,30598332,5800,24136548,6613056,42620,341768,24093928,6271288,0,0,8388604,8199420,4312,0,144888,73124,236980,815980,633884,182096,14272,8376,0,0,0,57081176,1377924,34359738367,583720,34308612092,54400,0,73728,0,0,0,0,0,0,2048,539016,9564160,91226112
1641963960.057512,57512,2,0,0,0,97385124,50798200,93185316,3980,42527732,4252,29625708,13047744,32064,344580,29593644,12703164,0,0,8388604,8228604,16608,0,137640,71892,235048,824268,647832,176436,14464,8440,0,0,0,57081164,1455184,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641963960.051647,51647,4,0,0,0,1813712,138960,1065212,2068,1050448,0,810296,659704,443044,37000,367252,622704,0,0,0,0,124,0,417524,40060,62520,150068,123504,26564,3168,7088,0,0,0,906856,647544,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1641963960.051981,51981,5,0,0,0,3878040,134072,1239016,2068,1323792,0,2780868,786348,2253016,30064,527852,756284,0,0,0,0,0,0,2241356,79632,41724,81960,59112,22848,3024,11024,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,860160,0,0,0,0,0,0,2048,81776,4112384,2097152
1641963960.051654,51654,3,0,0,0,3878020,3201132,3407476,2088,432036,0,292192,213232,83464,29596,208728,183636,0,0,0,0,0,0,71300,70684,41760,72028,45624,26404,3056,5964,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641964020.055361,55361,0,0,0,0,97387748,79974600,86563760,152632,6772400,8724,7163964,6570860,6810956,13300,353008,6557560,0,0,8388604,6279544,532,0,6804940,54712,14464,387464,236048,151416,13456,86180,0,0,0,57082476,12164596,34359738367,576596,34308614140,51200,0,4392960,0,0,0,0,0,0,2048,439668,10711040,90177536
1641964020.056066,56066,1,0,0,0,97385144,62702972,93174480,4140,30627896,5800,24138312,6642848,44384,341768,24093928,6301080,0,0,8388604,8199420,4608,0,146820,73128,236980,816044,633948,182096,14256,8376,0,0,0,57081176,1377924,34359738367,583720,34308612092,54400,0,75776,0,0,0,0,0,0,2048,539016,9564160,91226112
1641964020.057212,57212,2,0,0,0,97385124,50745904,93188320,3980,42583072,4252,29626860,13102912,33216,344576,29593644,12758336,0,0,8388604,8228604,7168,0,139544,71892,235048,824412,647960,176452,14448,8440,0,0,0,57081164,1454924,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,522612,8531968,92274688
1641964020.052146,52146,3,0,0,0,3878020,3201404,3407748,2088,432036,0,292192,213232,83464,29596,208728,183636,0,0,0,0,0,0,71300,70684,41760,72036,45624,26412,3024,5964,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1641964020.051472,51472,4,0,0,0,1813712,113604,1053360,2068,1063908,0,805728,690152,455428,37000,350300,653152,0,0,0,0,88,0,429908,40060,62520,150012,123512,26500,2816,7076,0,0,0,906856,647544,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
